description,price,product_id,product_name,seller
"Любые стейки прожарки medium-well done; свиные ребра; говяжья печень; картофель, овощной рататуй; рис по-восточному; красные сорта рыб на гриле; рыбные шашлыки; острые супы с мясом осьминога или краба; все шоколадные торты; шоколадный фандан; все восточные сладости. Предком Glenmorangie The Lasanta был Glenmorangie Vintage 1963, односолодовый виски с дополнительной выдержкой в бочках из-под хереса Олоросо. Первый выпуск состоялся в 1987 году, с тех пор Glenmorangie не перестает экспериментировать с довыдержкой в различных бочках, создавая невероятные экспрессии. Glenmorangie The Lasanta один из лучших результатов опыта дистиллерии Glenmorangie.   Виски Glenmorangie The Lasanta  это:  в переводе с гаэльского языка тепло и страсть;  выдержка 12 лет: 10 лет в бочках из-под бурбона, и не менее 2-х лет дополнительной выдержки в испанских бочках из-под сухого хереса Олоросо и из-под сладкого хереса Педро Хименес;  ароматы специй и пряностей;  вкусовые оттенки лесного ореха, шоколада и су...",4003,52498393,"Виски Glenmorangie The Lasanta Sherry Cask Finish 12 лет 0,7 л в подарочной упаковке",Glenmorangie
"Подарочный набор для женщин, бьюти бокс с косметикой - это набор уходовой косметики для лица в подарок подруге, девушке, маме, сестре, коллеге и для себя любимой! Набор косметики женский включает в себя 12 предметов: набор тканевых масок для лица Корея в ассортименте (Jigott, Doris, Ekel) 7 шт., патчи для глаз 2 пары, гелевые маски для губ 2 пары, крем для рук 1 шт., **Открытка. Косметический набор beauty box** отлично подойдет в подарок девушке на день влюбленных, подарок маме на день рождения, на 8 марта, на день матери и без особого повода. Подарочный бокс упакован в декоративную коробку с прозрачной крышкой, украшен лентой. Дополнительно бьюти бокс с косметикой упакован в транспортный короб, что гарантирует доставку до Вас в целости и невредимости. Размер подарочной коробки 17*17 см. Наши подарочные наборы косметики для женщин могут содержать иной набор корейских тканевых масок, патчей и упаковочной бумаги, чем на фото.Корейская тканевая маска, корейская косметика",534,46141648,Подарочный набор косметики женский / Бьюти Бокс / Beauty Box/ Подарок на 8 марта / Бокс с косметикой,O'RIMWELL
"Сумка женская спортивная отлично подойдет для тренировок, для фитнеса, йоги или повседневного использования. Сумка спортивная очень вместительная, изготовлена из износостойкого и водоотталкивающего материала. Сумка дорожная через плечо идеально подойдет для поездок, путешествий, походов или пикника. В сумке есть внутренний карман для обуви с вентилируемым отверстием, а так же боковые карманы на молнии для ключей и прочей мелочи. Ремни сумки легко регулируются. Cумка идеально подойдет как ручная кладь. В нашем интернет магазине представлены такие модели, как: сумка кросс боди женская рюкзак женский рюкзак городской рюкзак мужской черный сумка мужская сумка для спорта сумка для фитнеса дорожная сумка хозяйственная сумка для тренировок сумка в багажник сумка в самолет ручная кладь сумка для документов сумка женская маленькая сумка в роддом. Сумка-это отличный подарок для женщины любимой мамы жены подарок для мужчины мужа на 23 февраля подарок для жены подруги любимой на 8 марта.",1141,36313576,Сумка спортивная сумка женская через плечо сумка кросс боди сумка мужская дорожная фитнес рюкзак,Gnayt
"Angel Like Me - безопасная, гипоаллергенная детская декоративная косметика. Победитель федеральной премии в сфере товаров у услуг для детей Золотой медвежонок.Тени, помада, лак для ногтей, блеск - лучший подарок для девочки. Найдите все наши товары по запросу Angel Like Me и Angel Like Me линия Barbie.Детский косметический набор Angel Like Me имеет Свидетельство о государственной регистрации, выданное управлением Роспотребнадзора по г. Москве. Косметика проверена в Центре контроля качества Онкологического научного центра. Испытания подтверждены Центром гигиены и эпидемиологии в городе Москве. Все компоненты соответствуют Техническому регламенту ТР ТС 009/2011 О безопасности парфюмерно-косметической продукции.Ждем Вас в инстаграм @Angel.LikeMe и будем рады ответить на все Ваши вопросы по электронной почте info @ AngelLikeMe.ru",793,13370904,"Детская декоративная косметика для девочек ""Цветок"". Тени, блеск, помада, лак. Набор косметики",Angel Like Me
"Не бывает плохой погоды для бега в этих кроссовках adidas. Промежуточная подошва Boost смягчает каждый шаг, а прочная подметка обеспечивает плавный перекат стопы.",3199,30305196,Кроссовки RESPONSE SUPER 2.0  CBLACK/FTWWHT/GRESIX,adidas
"Варежки из высокопрочной, износостойкой ткани. Ладонь усилена износостойкой прорезиненной вставкой. Предусмотрено соединение рукавиц карабином друг к другу. Беспоровая мембрана - HIPORA не пропускает влагу внутрь, а при повышенной физической активности адсорбирует избыточную влагу с поверхности рук и выводит ее наружу, удерживает тепло, обеспечиваю высокую комфортность. Материал совмещает полную ветронепроницаемость, высокую водонепроницаемость и паропроницаемость. Внутренний слой - это мягкий, приятный на ощупь полушерстяной мех.",1439,15149559,Варежки водонепроницаемые,NELS
"Зубная щетка Philips Sonicare обеспечивает тщательную чистку без повреждения зубов и десен. 31 000 выметающих движений в минуту аккуратно очищают межзубные промежутки, разрушая и вымывая налет. Клинически доказано, что зубная щетка Philips Sonicareудаляет налет с поверхности зубов и линии десен до 5 раз эффективнее* по сравнению с обычной зубной щеткой. 2-минутный таймер SmarTimer и 30-секундный таймер QuadPacer помогут чистить зубы в течение рекомендованного времени для каждого участка полости рта, чтобы обеспечить оптимальный результат чистки. Встроенный датчик давления автоматически распознает давление на щетку, предупреждает пользователя и автоматически снижает интенсивность вибраций зубной щетки для защиты десен. Индикатор отображает уровень заряда аккумулятора. Технология BrushSync уведомит вас о необходимости замены на ручке щетки и издаст короткий звуковой сигнал. Аккумулятора хватит на 14 дней использования. Дорожный футляр для путешествий в комплекте.",4810,39326649,Электрическая зубная щетка Sonicare 3100 series HX3673 с дорожным футляром,Philips
"Картриджи Clean and Renew поддерживают вашу мужскую бритву Braun в оптимальном состоянии, обеспечивая эффективность и комфорт каждой процедуры бритья. Жидкость с ароматом лимона обеспечивает смазывание лезвий электробритвы и дарит ощущение свежести во время бритья. Специальная жидкость удаляет 99,9 всех микробов, обеспечивая до 10 раз более гигиеничное очищение, чем промывание бритвы под проточной водой.",894,7159588,Картридж CCR 2 с чистящей жидкостью,Braun
"Детская термокружка - это стильный, современный и практичный аксессуар. Термо кружка станет отличным попутчиком в дороге, на прогулке и в школе. Термос лёгкий и имеет компактные размеры: 20х6,5 см. Объём 320 мл. Детская термо кружка выполнена из пищевой нетоксичной гипоаллергенной нержавеющей стали с двойными стенками и сохраняет тепло до 6 часов, а холод до 12 часов. Дети могут брать с собой воду, соки, компоты и другие напитки - это очень удобно. Термокружка 100% герметична - для защиты от непроизвольного нажатия кнопки, кружка имеет специальный защитный замок. Детский термос снабжен откидывающейся крышкой с кнопкой, которая с лёгкостью открывается одним нажатием. Удобный поильник надежно закрывается крышкой, что делает использование кружки гигиеничным. В нашей коллекции термокружек Вы найдёте очаровательные и яркие принты (Бравл Страс, Амонг Ас, Майнкрафт, Аниме, Наруто), которые приведут Ваших детей в восторг! Многоразовая детская термокружка станет прекрасным подарком ребенку!",699,38574799,Термокружка для кофе 320 мл / детская / подарок / термос,Mojem
"Яркие тени UCANBE всех оттенков радуги - тренд этого года! Формула теней обеспечивает легкое нанесение на кожу век и идеально подходит для их тушевки. Надолго обеспечивает устойчивый эффект. Тени позволяют начать новые, смелые эксперименты и создать незабываемый образ под любой повод: от фотосессии до спонтанного свидания. Тени UCANBE водостойкие, легко наносятся, отлично растушевываются и не осыпаются в течение дня, благодаря их шелковой текстуре, даже без базы. Палитра теней состоит из матовых и мерцающих оттенков, гармонично подобраных для тредовых макияжей различных эпох. Палетка теней октрывается легко и без усилий. Благодаря высокому качеству и демократичной цене тени для век UCANBE уже успели зарекомендовать себя в Европе и США у бьюти-блогеров и начинающих визажистов. Эта палетка теней настоящий must-have на твоем бюьти-столике! Для яркого и стойкого макияжа советуем использовать белую или бежевую базу под тени. Экспериментируй и будь яркой с UCANBE!",436,29168695,Тени для век Ucanbe / палетка теней,UCANBE
